INSTNM,SAT_AVG_ALL,UGDS,UGDS_WHITE,MD_EARN_WNE_P10
Life Chiropractic College West,NULL,NULL,NULL,NULL
Lincoln University,NULL,149,0.1678,PrivacySuppressed
Southern California Seminary,NULL,60,0.3833,PrivacySuppressed
La Sierra University,929,2020,0.1371,45100
Loma Linda University,NULL,1048,0.3445,79100
Long Beach City College,NULL,23215,0.1404,28500
Southern California University of Health Sciences,NULL,70,0.3286,PrivacySuppressed
Los Angeles Harbor College,NULL,8737,0.136,31500
Los Angeles Pierce College,NULL,18578,0.2901,33000
Los Angeles Southwest College,NULL,5720,0.0145,24500
Los Angeles Trade Technical College,NULL,12584,0.0595,27800
Los Angeles Valley College,NULL,16466,0.3015,30500
The Master's University and Seminary,1091,1126,0.6492,38600
Los Angeles City College,NULL,15634,0.1867,26900
Los Angeles County College of Nursing and Allied Health,NULL,196,0.1327,85100
Los Angeles Mission College,NULL,8530,0.1147,28900
Los Medanos College,NULL,7883,0.2757,32800
Argosy University-The Art Institute of California-San Francisco,NULL,788,0.1713,37800
Loyola Marymount University,1222,6162,0.4489,55800
Lu Ross Academy,NULL,176,0.2443,NULL
Lyles Fresno College of Beauty,NULL,67,0.3284,14200
Lytles Redwood Empire Beauty College Inc,NULL,129,0.7364,21000
MTI Business College Inc,NULL,120,0.1,22100
MTI College,NULL,919,0.4995,32900
Brightwood College-Sacramento,NULL,439,0.1822,25000
Brightwood College-San Diego,NULL,1163,0.2382,35500
Brightwood College-Vista,NULL,738,0.2561,29500
College of Marin,NULL,4689,0.5261,35200
Marymount California University,NULL,1059,0.17,35900
Mendocino College,NULL,3281,0.594,24300
Menlo College,1018,784,0.2895,46400
Merced College,NULL,9114,0.2232,26300
Merritt College,NULL,5818,0.182,31400
Mills College,1183,852,0.4765,39600
MiraCosta College,NULL,14197,0.4425,28600
Mission College,NULL,6900,0.1729,33000
Modern Beauty Academy,NULL,33,0.1212,18800
