INSTNM,SAT_AVG_ALL,UGDS,UGDS_WHITE,MD_EARN_WNE_P10
West Liberty University,984,2014,0.7929,34500
West Virginia University Institute of Technology,1073,1116,0.7151,44000
West Virginia Wesleyan College,1015,1371,0.787,40200
West Virginia Business College-Wheeling,NULL,115,0.9391,15900
West Virginia Junior College-Charleston,NULL,149,0.7785,18800
West Virginia Junior College-Morgantown,NULL,428,0.8995,20900
International Beauty School 4,NULL,75,0.6667,18600
West Virginia Northern Community College,NULL,1428,0.9118,25700
West Virginia University,1073,21580,0.8062,44000
Wheeling Jesuit University,1032,1024,0.7529,42100
Wood County School of Practical Nursing,NULL,29,1,PrivacySuppressed
Advanced Institute of Hair Design-Glendale,NULL,80,0.425,22200
VICI Aveda Institute,NULL,117,0.8291,22200
Alverno College,910,1528,0.5236,37100
Madison Area Technical College,NULL,11232,0.7079,35100
Bellin College,1090,318,0.9308,55800
Beloit College,NULL,1271,0.6585,41500
Blackhawk Technical College,NULL,2249,0.7875,29000
Cardinal Stritch University,1028,1971,0.5413,47400
Carroll University,1087,2946,0.833,41400
Carthage College,1145,2862,0.7498,44500
Columbia College of Nursing,NULL,150,0.8067,NULL
Concordia University-Wisconsin,1052,4080,0.7228,42800
Edgewood College,1050,1758,0.7958,42400
Fox Valley Technical College,NULL,6477,0.7715,35200
Gateway Technical College,NULL,6291,0.6403,30200
Gill-Tech Academy of Hair Design,NULL,59,0.7119,20200
The Professional Hair Design Academy,NULL,44,0.9773,18200
ITT Technical Institute-Greenfield,NULL,370,0.4405,38800
Lakeland University,907,2196,0.7741,41100
Lakeshore Technical College,NULL,2129,0.8342,33400
Lawrence University,NULL,1527,0.6968,41700
Maranatha Baptist University,NULL,758,0.876,31600
Marian University,950,1538,0.8231,39700
Marquette University,1219,8143,0.7269,59000
Medical College of Wisconsin,NULL,NULL,NULL,250000
Mid-State Technical College,NULL,2466,0.8958,32400
Milwaukee Area Technical College,NULL,13551,0.4215,30900
Milwaukee Institute of Art & Design,NULL,624,0.6795,33700
Milwaukee School of Engineering,1248,2668,0.6555,67400
Moraine Park Technical College,NULL,3457,0.8707,34200
Mount Mary University,902,735,0.4884,39300
Nashotah House,NULL,NULL,NULL,NULL
Nicolet Area Technical College,NULL,892,0.8868,27100
Northcentral Technical College,NULL,3803,0.8349,34800
Northeast Wisconsin Technical College,NULL,6516,0.8301,34600
Northland College,1118,518,0.8282,33000
Ripon College,1105,781,0.8348,43900
Sacred Heart Seminary and School of Theology,NULL,NULL,NULL,NULL
Saint Norbert College,1125,2052,0.8869,45100
Silver Lake College of the Holy Family,NULL,284,0.5493,37700
State College of Beauty Culture Inc,NULL,46,0.8261,16400
Southwest Wisconsin Technical College,NULL,1325,0.9547,32400
Bryant & Stratton College-Milwaukee,NULL,580,0.0759,22900
University of Wisconsin Colleges,970,10950,0.817,34300
Viterbo University,1090,1852,0.8942,41100
Chippewa Valley Technical College,NULL,4197,0.8732,34100
Waukesha County Technical College,NULL,4889,0.7707,35000
Western Technical College,NULL,4044,0.8519,32500
University of Wisconsin-Whitewater,1050,10614,0.8196,41900
Wisconsin Indianhead Technical College,NULL,2558,0.9339,30400
Wisconsin School of Professional Psychology,NULL,NULL,NULL,NULL
Paul Mitchell the School-Green Bay,NULL,152,0.7697,22500
University of Wisconsin-Eau Claire,1110,9844,0.8925,44000
University of Wisconsin-Green Bay,1070,5502,0.8568,38900
University of Wisconsin-La Crosse,1130,9462,0.8965,44700
Wisconsin Lutheran College,1101,1056,0.8314,40900
University of Wisconsin-Oshkosh,1030,9955,0.8654,41200
University of Wisconsin-Parkside,970,4158,0.6845,37800
Herzing University-Madison,NULL,2366,0.4125,40300
University of Wisconsin-Stout,1030,8220,0.8735,44300
University of Wisconsin-Superior,990,2268,0.8086,35700
University of Wisconsin-Madison,1300,29579,0.762,54200
University of Wisconsin-Milwaukee,1050,20921,0.6772,42300
University of Wisconsin-Platteville,1090,7785,0.9048,45400
University of Wisconsin-River Falls,1050,5286,0.8871,40200
University of Wisconsin-Stevens Point,1050,8733,0.8664,39000
Casper College,NULL,2429,0.8518,34600
Central Wyoming College,NULL,1046,0.7046,25000
Eastern Wyoming College,NULL,654,0.8517,26400
Laramie County Community College,NULL,3038,0.7877,33600
Northwest College,NULL,1424,0.8413,29500
Sheridan College,NULL,1948,0.8291,31100
Western Wyoming Community College,NULL,2353,0.799,33500
Cheeks International Academy of Beauty Culture-Cheyenne,NULL,50,0.56,15900
Wyotech-Laramie,NULL,462,0.7294,43400
University of Wyoming,1122,9842,0.7625,46200
American Samoa Community College,NULL,1285,0.0023,20600
Guam Community College,NULL,1979,0.0167,22600
University of Guam,NULL,3647,0.0222,28800
Northern Marianas College,NULL,1122,0.0116,20500
Institute of Beauty Careers,NULL,208,0,12500
Educational Technical College-Recinto de Bayamon,NULL,431,0,15300
American University of Puerto Rico,NULL,651,0,19700
American University of Puerto Rico,NULL,861,0,19700
American Educational College,NULL,719,0,14500
Antilles School of Technical Careers,NULL,675,0,18800
Universidad Adventista de las Antillas,NULL,1304,0.0092,19200
Atlantic University College,NULL,1459,0,19900
Universidad Central de Bayamon,NULL,1354,0,18700
Columbia Central University-Caguas,NULL,1534,0,19300
Carlos Albizu University-San Juan,NULL,265,0.0113,30700
Caribbean University-Bayamon,NULL,1589,0,17400
Caribbean University-Carolina,NULL,505,0,17400
Pontifical Catholic University of Puerto Rico-Arecibo,NULL,629,0.0048,17400
Pontifical Catholic University of Puerto Rico-Ponce,NULL,5427,0.0007,17400
Centro de Estudios Multidisciplinarios-San Juan,NULL,803,0,18500
Universidad Teologica del Caribe,NULL,240,0,19200
Colegio Universitario de San Juan,NULL,1429,0,23400
Universidad Metropolitana,NULL,11589,0,18800
Puerto Rico Conservatory of Music,NULL,411,0.0024,16900
Center for Advanced Studies On Puerto Rico and the Caribbean,NULL,NULL,NULL,NULL
EDP University of Puerto Rico Inc-San Sebastian,NULL,1073,0,18900
Emma's Beauty Academy-Mayaguez,NULL,372,0,13000
Escuela de Artes Plasticas y Diseno de Puerto Rico,NULL,573,0.0017,18600
Instituto Tecnologico de Puerto Rico-Recinto de Manati,NULL,749,0,19400
Huertas College,NULL,1278,0,17900
Humacao Community College,NULL,554,0,17600
ICPR Junior College-Arecibo,NULL,426,0,15400
ICPR Junior College-Mayaguez,NULL,434,0,15400
Instituto de Educacion Tecnica Ocupacional La Reine-Manati,NULL,309,0,12100
Richport Technical College,NULL,446,0,12700
Instituto de Banca y Comercio Inc,NULL,13719,0,15800
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,NULL,665,0,19400
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,NULL,665,0,19400
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,NULL,717,0,19400
Inter American University of Puerto Rico-San German,NULL,4246,0.0019,19100
Inter American University of Puerto Rico-Aguadilla,NULL,4198,0.0019,19100
Inter American University of Puerto Rico-Arecibo,NULL,4025,0.004,19100
Inter American University of Puerto Rico-Barranquitas,NULL,2009,0.0005,19100
Inter American University of Puerto Rico-Metro,NULL,6350,0.0077,19100
Inter American University of Puerto Rico-Ponce,NULL,5011,0.002,19100
Inter American University of Puerto Rico-Fajardo,NULL,2050,0.001,19100
Inter American University of Puerto Rico-Guayama,NULL,1898,0.0016,19100
Inter American University of Puerto Rico-Bayamon,NULL,4481,0.0062,19100
Inter American University of Puerto Rico-School of Law,NULL,NULL,NULL,19100
International Technical College,NULL,103,0,16200
Liceo de Arte y Tecnologia,NULL,1519,0,20000
MBTI Business Training Institute,NULL,3585,0,16500
Modern Hairstyling Institute-Bayamon,NULL,227,0,14800
Modern Hairstyling Institute-Arecibo,NULL,64,0,10900
National University College-Bayamon,NULL,4920,0,17100
National University College-Arecibo,NULL,1408,0,17100
Ponce Paramedical College Inc,NULL,2326,0,15500
Ponce Health Sciences University,NULL,NULL,NULL,NULL
University of Puerto Rico-Aguadilla,1023,3086,0.0262,NULL
University of Puerto Rico-Arecibo,NULL,3846,0,NULL
University of Puerto Rico-Bayamon,NULL,4876,0,NULL
University of Puerto Rico-Carolina,1002,3669,0.0087,NULL
University of Puerto Rico-Cayey,1105,3681,0,NULL
University of Puerto Rico-Humacao,NULL,3732,0.0086,NULL
University of Puerto Rico-Utuado,NULL,1404,0.0121,NULL
University of Puerto Rico-Mayaguez,NULL,11518,0,PrivacySuppressed
University of Puerto Rico-Medical Sciences,NULL,444,0.0023,NULL
University of Puerto Rico-Ponce,NULL,3543,0,NULL
University of Puerto Rico-Rio Piedras,1162,12653,0.0087,NULL
Universidad del Este,NULL,11825,0,18200
Universidad del Sagrado Corazon,NULL,4415,0,19300
Seminario Evangelico de Puerto Rico,NULL,NULL,NULL,NULL
Universidad Central Del Caribe,NULL,151,0,25800
Universidad Politecnica de Puerto Rico,NULL,3475,0.0014,28100
Pontifical Catholic University of Puerto Rico-Mayaguez,NULL,1375,0,17400
Universidad del Turabo,NULL,14696,0,18700
College of Micronesia-FSM,NULL,2213,0,16300
Palau Community College,NULL,619,0.0016,24100
University of the Virgin Islands,807,2022,0.0539,32200
Stanford University,1479,6994,0.3737,85700
Purdue University-Main Campus,1231,30233,0.6464,55000
Blue Hills Regional Technical School,NULL,54,0.4815,52000
Parker University,NULL,143,0.4476,38200
EDP University of Puerto Rico Inc-San Juan,NULL,1591,0,18900
ICPR Junior College-General Institutional,NULL,633,0,15400
ITT Technical Institute-Sylmar,NULL,541,0.2421,38800
ITT Technical Institute-Westminster,NULL,126,0.5794,38800
Widener University-Delaware Law School,1032,63,0.6825,53200
City College-Fort Lauderdale,NULL,484,0.1364,26100
Meridian College,NULL,161,0.4348,17300
Georgia State University-Perimeter College,NULL,18678,0.256,33100
Georgia Piedmont Technical College,NULL,3183,0.1005,26000
The Beauty Institute Schwarzkopf Professional-Coeur D'Alene,NULL,84,0.8929,13400
Cortiva Institute-Chicago,NULL,194,0.1856,28500
ETI School of Skilled Trades,NULL,258,0.4496,40400
Trend Setters' Academy of Beauty Culture-Elizabethtown,NULL,46,0.587,14500
Traxlers School of Hair,NULL,39,0,PrivacySuppressed
Jones Hair Design College,NULL,108,0,19200
Vatterott College-Berkeley,NULL,1141,0.0798,28300
Metro Business College-Rolla,NULL,64,0.9063,19300
Metro Business College-Jefferson City,NULL,80,0.8,19300
Warren County Community College,NULL,1278,0.7113,33900
St. John's College,NULL,324,0.5957,29900
Yeshiva and Kollel Harbotzas Torah,NULL,16,1,PrivacySuppressed
Bais Medrash Elyon,NULL,64,1,PrivacySuppressed
Antioch University-Los Angeles,NULL,165,0.4485,36700
Antioch University-Santa Barbara,NULL,168,0.3988,36700
Antioch University-New England,NULL,NULL,NULL,36700
Antioch University-Seattle,NULL,105,0.581,36700
Antioch University-Midwest,NULL,51,0.8039,36700
Mid-America Christian University,NULL,1980,0.5444,38700
Platt College-Tulsa,NULL,200,0.43,22800
Ponca City Beauty College,NULL,47,0.6596,PrivacySuppressed
Francis Tuttle Technology Center,NULL,958,0.5271,30100
Career Point College,NULL,215,0.614,20500
Central Technology Center,NULL,203,0.6305,25900
Carrington College-Portland,NULL,191,0.6178,26300
Career Technology Center of Lackawanna County,NULL,71,0.9155,42000
Brightwood College-Nashville,NULL,398,0.3015,24600
Brightwood College-El Paso,NULL,577,0.0711,23600
Houston Graduate School of Theology,NULL,NULL,NULL,NULL
Palo Alto College,NULL,6813,0.1814,28200
Sebring Career Schools-Huntsville,NULL,43,0.5116,17100
University of Cosmetology Arts & Sciences-San Antonio Perrin,NULL,55,0.2545,20400
Central Texas Beauty College-Round Rock,NULL,114,0.3947,16900
Empire Beauty School-Manitowoc,NULL,45,0.6889,16900
Unification Theological Seminary,NULL,NULL,NULL,NULL
Athens Technical College,NULL,3746,0.6321,28700
Maricopa Skill Center,NULL,765,0.4314,31700
Carrington College-San Leandro,NULL,478,0.1444,29000
Headmasters School of Hair Design,NULL,58,0.8621,15400
Nicholas Jay Salon & Spa Academy,NULL,63,0.8413,14300
Beckfield College-Florence,NULL,662,0.8459,25700
Dorsey Business Schools-Wayne,NULL,150,0.4733,21600
Ecumenical Theological Seminary,NULL,23,0.0435,NULL
Ross Medical Education Center-Saginaw,NULL,192,0.8073,20400
Sussex County Community College,NULL,2482,0.8312,31200
Landmark College,NULL,443,0.6885,21400
National American University-Independence,NULL,395,0.6101,34800
Yeshiva Gedolah of Greater Detroit,NULL,62,1,PrivacySuppressed
Austin Graduate School of Theology,NULL,22,0.2273,PrivacySuppressed
Collin County Community College District,NULL,24181,0.4959,36500
Owensboro Community and Technical College,NULL,2614,0.9155,27400
Heads West Kentucky Beauty College,NULL,66,0.6061,PrivacySuppressed
Jenny Lea Academy of Cosmetology,NULL,17,1,PrivacySuppressed
Empire Beauty School-Hurstborne,NULL,78,0.4487,15700
Cloyd's Beauty School 3 Inc,NULL,42,0.7619,PrivacySuppressed
Moore Norman Technology Center,NULL,508,0.5748,26700
Fayette County Career & Technical Institute Practical Nursing Program,NULL,101,0.7921,32600
Franklin County Career and Technology Center,NULL,82,0.9512,38700
Paul Mitchell the School-Knoxville,NULL,188,0.867,PrivacySuppressed
Ogle School Hair Skin Nails-Hurst,NULL,107,0.4486,23100
FIDM-Fashion Institute of Design & Merchandising-San Diego,NULL,119,0.4538,35200
National American University-Albuquerque,NULL,301,0.3156,34800
Tennessee College of Applied Technology Nashville,NULL,931,0.5371,26100
ECPI University,NULL,10979,0.4091,35300
Branford Hall Career Institute-Jersey City,NULL,308,0.0649,41500
Paul Mitchell the School-Houston,NULL,272,0.3088,16900
TDDS Technical Institute,NULL,260,0.7231,33300
Fortis Institute-Forty Fort,NULL,166,0.6205,22300
Laurel Business Institute,NULL,203,0.9015,22200
Antonelli Medical and Professional Institute,NULL,124,0.6855,25600
Aviation Institute of Maintenance-Philadelphia,NULL,364,0.2308,35700
Carrington College-Phoenix East,NULL,346,0.3757,24800
Dorsey Business Schools-Roseville,NULL,402,0.2239,21600
Moler-Pickens Beauty Academy,NULL,78,0.1667,15700
Red River Technology Center,NULL,90,0.6111,25600
Brightwood Career Institute-Harrisburg,NULL,206,0.2379,25400
ITT Technical Institute-Newburgh,NULL,171,0.8596,38800
Southern Union State Community College,NULL,4447,0.6703,29500
South University-Columbia,NULL,929,0.254,30300
Everest University-Brandon,NULL,861,0.3589,26700
Clinton Technical School,NULL,23,1,NULL
Consolidated School of Business-Lancaster,NULL,92,0.2391,26100
Greene County Career and Technology Center,NULL,14,1,PrivacySuppressed
Lac Courte Oreilles Ojibwa Community College,NULL,302,0.1589,17600
Diesel Driving Academy-Shreveport,NULL,272,0.1471,PrivacySuppressed
Pima Medical Institute-Mesa,NULL,1066,0.4512,27700
Platt College-Los Angeles,NULL,639,0.1518,30200
Platt College-Aurora,NULL,216,0.7407,26500
Kaplan University-Davenport Campus,NULL,35040,0.4913,33500
Kaplan University-Cedar Falls Campus,NULL,306,0.8824,33500
Paul Mitchell the School-Boise,NULL,158,0.6013,16700
Christian Life College,NULL,45,0.5556,PrivacySuppressed
Knowledge Systems Institute,NULL,NULL,NULL,NULL
ITT Technical Institute-Arlington Heights,NULL,196,0.4133,38800
Northwestern College-Southwestern Campus,NULL,781,0.2113,29300
Tulsa Technology Center-Lemley Campus,NULL,626,0.5799,31400
Tulsa Technology Center-Riverside Campus,NULL,649,0.681,31400
Tulsa Technology Center-Broken Arrow Campus,NULL,653,0.6309,31400
Douglas J Aveda Institute,NULL,997,0.7352,23200
ITT Technical Institute-Troy,NULL,410,0.5732,38800
Ross Medical Education Center-Brighton,NULL,97,0.9278,23300
Ross Medical Education Center-Ann Arbor,NULL,96,0.5938,23300
Taylortown School of Beauty Inc,NULL,161,0.2671,PrivacySuppressed
Pike-Lincoln Technical Center,NULL,13,0.9231,PrivacySuppressed
Pennsylvania Institute of Health and Technology,NULL,96,0.9271,20900
Skyline College-Roanoke,NULL,13,0.6923,26000
Bethel Seminary-San Diego,1127,NULL,NULL,45100
St Charles Community College,NULL,6301,0.7943,31600
Brandman University,NULL,3595,0.4559,NULL
New College of Florida,1285,852,0.6901,PrivacySuppressed
Arizona Academy of Beauty-North,NULL,47,0.3617,17100
Empire Beauty School-Prescott,NULL,48,0.7708,17800
Le Cordon Bleu College of Culinary Arts-Scottsdale,NULL,1426,0.1396,32100
Conservatory of Recording Arts and Sciences,NULL,655,0.5481,38000
Adrian's College of Beauty Turlock,NULL,136,0.4044,PrivacySuppressed
California Career School,NULL,130,0.4769,PrivacySuppressed
Rolf Institute of Structural Integration,NULL,74,0.5,NULL
Heritage College-Denver,NULL,311,0.4148,23700
Empire Beauty School-Highland,NULL,63,0.1429,19100
Sunstate Academy,NULL,331,0.4139,15000
Elizabeth Grady School of Esthetics and Massage Therapy,NULL,195,0.6051,28200
Ross Medical Education Center-Port Huron,NULL,53,0.8491,20400
Capri Institute of Hair Design-Clifton,NULL,189,0.1958,24100
Raphael's School of Beauty Culture Inc-Alliance,NULL,104,0.5673,PrivacySuppressed
Metro Technology Centers,NULL,1115,0.1839,37100
Daymar College-Bowling Green,NULL,240,0.7333,22400
Everest College-Everett,NULL,278,0.6007,29300
Luna Community College,NULL,706,0.2238,25600
Grabber School of Hair Design,NULL,163,0.681,19700
Yeshivah Gedolah Rabbinical College,NULL,31,0.871,PrivacySuppressed
University of the District of Columbia-David A Clarke School of Law,NULL,NULL,NULL,33100
Raphael's School of Beauty Culture Inc-Brunswick,NULL,55,0.8909,14400
Caribbean University-Ponce,NULL,911,0,17400
Caribbean University-Vega Baja,NULL,422,0,17400
University of Advancing Technology,NULL,693,0.5455,45800
Paradise Valley Community College,NULL,6418,0.5781,34800
Chandler-Gilbert Community College,NULL,9677,0.4966,37800
HSHS St. John's Hospital School of Clinical Laboratory Science,NULL,6,1,PrivacySuppressed
Madison Media Institute,NULL,320,0.7406,27500
Sanford-Brown Institute-Garden City,NULL,371,0.1294,31000
Great Plains Technology Center,NULL,195,0.5128,32000
Roane-Jackson Technical Center,NULL,33,1,27600
Total Cosmetology Training Center,NULL,58,0.7931,PrivacySuppressed
Pioneer Technology Center,NULL,136,0.6618,21000
Portage Lakes Career Center,NULL,118,0.7627,31400
Eastern College of Health Vocations-New Orleans,NULL,92,0.1196,19600
Bell Mar Beauty College,NULL,68,0.0294,18100
Cannella School of Hair Design-Chicago,NULL,23,0,16200
Caddo Kiowa Technology Center,NULL,331,0.4381,19400
Brightwood College-San Antonio-San Pedro,NULL,542,0.1089,23800
Center for Instruction Technology & Innovation (CiTi),NULL,114,0.9035,32300
Le Cordon Bleu College of Culinary Arts-Austin,NULL,604,0.3477,32600
The Art Institute of New York City,NULL,439,0.0683,30400
Paris II Educational Center,NULL,60,0.75,18400
International School of Skin Nailcare & Massage Therapy,NULL,296,0.1926,24700
Palomar Institute of Cosmetology,NULL,137,0.5328,17100
Southern Oklahoma Technology Center,NULL,102,0.5392,30800
Vista College,NULL,4349,0.2017,20700
Autry Technology Center,NULL,272,0.6985,30000
Greene County Vocational School District,NULL,27,0.8519,28400
Canadian Valley Technology Center,NULL,325,0.7569,27000
Wilkes-Barre Area Career and Technical Center Practical Nursing,NULL,120,0.775,37800
Mayo Clinic Graduate School of Biomedical Sciences,NULL,NULL,NULL,65900
Meridian Technology Center,NULL,193,0.7254,23600
Waynesville Career Center,NULL,69,0.8116,34100
Connecticut Institute of Hair Design,NULL,25,0.64,PrivacySuppressed
Capitol School of Hairstyling and Esthetics,NULL,121,0.8099,24400
Morris County Vocational School District,NULL,55,0.5636,PrivacySuppressed
Ross Medical Education Center-Roosevelt Park,NULL,150,0.7333,20400
Ross Medical Education Center-Kentwood,NULL,243,0.6091,23600
South Florida Bible College and Theological Seminary,NULL,164,0.2622,NULL
Cloyd's Barber School 2 Inc,NULL,25,0,PrivacySuppressed
Universal Technical Institute of Illinois Inc,NULL,1321,0.5814,43700
Pennsylvania College of Technology,NULL,5416,0.8754,40800
Commonwealth Institute of Funeral Service,NULL,228,0.5526,32300
Delta College of Arts & Technology,NULL,316,0.269,28400
InterCoast Colleges-Anaheim,NULL,85,0.2824,22800
Stone Child College,NULL,307,0.0228,16600
New York Academy of Art,NULL,NULL,NULL,NULL
Suffolk County Community College,NULL,21801,0.5647,36500
Las Positas College,NULL,8126,0.4099,35900
Blades School of Hair Design,NULL,100,0.6,PrivacySuppressed
Ogeechee Technical College,NULL,1825,0.5507,23500
Remington College-Mobile Campus,NULL,436,0.406,26300
Everest College-Aurora,NULL,183,0.2459,26800
Southern Technical College,NULL,1022,0.4687,24400
Mercy-St Luke's School of Radiologic Technology,NULL,22,0.8182,NULL
ITT Technical Institute-Norwood,NULL,357,0.4174,38800
Southwest Acupuncture College-Santa Fe,NULL,NULL,NULL,PrivacySuppressed
Northwest Technology Center-Alva,NULL,20,0.8,18800
Mercer County Career Center,NULL,27,0.963,30900
ITT Technical Institute-Knoxville,NULL,223,0.7848,38800
ITT Technical Institute-Austin,NULL,396,0.404,38800
ITT Technical Institute-Houston North,NULL,642,0.2726,38800
California State University-San Marcos,955,12103,0.3017,45100
Argosy University-Hawaii,NULL,504,0.0893,37800
Baptist Theological Seminary at Richmond,NULL,NULL,NULL,NULL
Brightwood College-Modesto,NULL,418,0.2344,21900
Kaplan University-Des Moines Campus,NULL,735,0.7224,33500
Hairmasters Institute of Cosmetology,NULL,113,0.4779,18000
Tricoci University of Beauty Cuture LLC-Bloomington,NULL,64,0.9063,PrivacySuppressed
Pinnacle Career Institute-Lawrence,NULL,97,0.6289,22400
Interactive College of Technology-Newport,NULL,38,0.5789,20600
McCann School of Business & Technology,NULL,587,0.1993,28900
Ross Medical Education Center-Taylor,NULL,74,0.6486,24400
McNally Smith College of Music,NULL,431,0.7123,32400
National Tractor Trailer School Inc-Liverpool,NULL,139,0.6835,35600
Interactive College of Technology,NULL,60,0.0167,23500
Star Career Academy-Brick,NULL,355,0.5662,PrivacySuppressed
New Castle Beauty Academy,NULL,35,0.8,14700
NorthWest Arkansas Community College,NULL,6057,0.6414,32500
Colorado Heights University,NULL,94,0.0426,PrivacySuppressed
Brewster Technical College,NULL,176,0.1989,17600
Hodges University,NULL,1476,0.4593,38400
Everest University-Lakeland,NULL,192,0.4115,24500
Argosy University-Atlanta,NULL,419,0.1241,37800
University of St Augustine for Health Sciences,NULL,NULL,NULL,NULL
Capital Area School of Practical Nursing,NULL,128,0.625,37700
Hair Professionals Career College,NULL,95,0.5053,18500
Alexandria School of Scientific Therapeutics,NULL,34,0.8824,21600
Empire Beauty School-Bloomfield,NULL,135,0,17000
Southwest Technology Center,NULL,380,0.4316,30400
Western Area Career & Technology Center,NULL,107,0.8224,38700
Daymar College-Clarksville,NULL,533,0.5216,22400
Nossi College of Art,NULL,259,0.749,24300
Seguin Beauty School-New Braunfels,NULL,26,0.5769,16100
ITT Technical Institute-Norfolk,NULL,513,0.2554,38800
Pima Medical Institute-Seattle,NULL,734,0.6267,27700
Mineral County Vocational Technical Center,NULL,20,1,PrivacySuppressed
Hypnosis Motivation Institute,NULL,90,0.5111,24100
Los Angeles ORT College-Los Angeles Campus,NULL,311,0.2444,20200
Thanh Le College School of Cosmetology,NULL,39,0,15300
Southeastern Technical College,NULL,1351,0.6403,21500
Massachusetts School of Law,NULL,NULL,NULL,NULL
ITT Technical Institute-Albuquerque,NULL,386,0.3316,38800
Community Services Division-Alliance City,NULL,78,0.7692,21300
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,NULL,2766,0.6027,36600
Erwin Technical College,NULL,717,0.3082,28800
Rosel School of Cosmetology,NULL,69,0.1449,14600
Worsham College of Mortuary Science,NULL,100,0.74,49500
Bryan University,NULL,289,0.6817,23300
Oregon College of Oriental Medicine,NULL,NULL,NULL,NULL
Central Pennsylvania Institute of Science and Technology,NULL,222,0.9234,PrivacySuppressed
Northwest Educational Center,NULL,240,0.0458,22900
Sebring Career Schools-Houston,NULL,116,0.0086,17100
PCI Health Training Center,NULL,404,0.0767,24900
Windham Memorial Hospital-Radiologic Technology Program,NULL,7,0.8571,PrivacySuppressed
Miami-Jacobs Career College-Columbus,NULL,333,0.2462,24800
Bryant & Stratton College-Eastlake,NULL,339,0.5516,22900
Hamrick School,NULL,159,0.5031,PrivacySuppressed
Alabama State College of Barber Styling,NULL,8,0.625,PrivacySuppressed
Fortis College,NULL,412,0.2476,20500
Downey Adult School,NULL,1010,0.1347,PrivacySuppressed
CRU Institute of Cosmetology and Barbering,NULL,66,0.2424,12200
Modern Technology School,NULL,103,0.3398,33600
National Career Education,NULL,226,0.4159,32200
Thuy Princess Beauty College,NULL,48,0,PrivacySuppressed
North-West College-Glendale,NULL,178,0.4382,27700
Fremont College,NULL,350,0.0686,29700
Pomona Unified School District Adult and Career Education,NULL,273,0.044,18600
Universal College of Beauty Inc-Los Angeles 2,NULL,21,0,14500
IBMC College,NULL,446,0.7242,25000
Xenon International Academy-Denver,NULL,53,0.6226,22600
Academy of Cosmetology,NULL,114,0.5877,12900
ITT Technical Institute-Lake Mary,NULL,358,0.3799,38800
Sunstate Academy,NULL,224,0.6161,16300
Heritage Institute-Jacksonville,NULL,230,0.413,25400
Fortis College-Smyrna,NULL,684,0.2442,26600
Remington College-Honolulu Campus,NULL,463,0.0778,26300
Vatterott College-Des Moines,NULL,172,0.686,26000
Brown Mackie College-Quad Cities,NULL,261,0.6437,29600
Pivot Point Academy-Bloomingdale,NULL,34,0.6765,24100
Blalock's Professional Beauty College,NULL,14,0.0714,NULL
Diesel Driving Academy-Baton Rouge,NULL,258,0.2326,PrivacySuppressed
New England Hair Academy,NULL,142,0.5493,17100
Rob Roy Academy-Worcester,NULL,155,0.6,20500
Upper Cape Cod Regional Technical School,NULL,89,0.8427,PrivacySuppressed
All-State Career-Baltimore,NULL,599,0.1753,36000
Adler Graduate School,NULL,NULL,NULL,NULL
Academy of Hair Design-Jackson,NULL,62,0,16400
KC's School of Hair Design,NULL,60,0.85,NULL
Mitchells Hairstyling Academy-Goldsboro,NULL,13,0.6154,PrivacySuppressed
Lincoln Technical Institute-Moorestown,NULL,527,0.296,27700
Monmouth County Vocational School District,NULL,78,0.3974,33000
Brightwood College-Las Vegas,NULL,817,0.1677,25000
Beauty School of Middletown,NULL,56,0.5357,18400
Bryant & Stratton College-Southtowns,NULL,442,0.7941,22900
Continental School of Beauty Culture-Olean,NULL,60,0.9,NULL
National Tractor Trailer School Inc-Buffalo,NULL,121,0.5455,35600
Yeshiva Gedolah Imrei Yosef D'spinka,NULL,109,1,13100
Cleveland Institute of Dental-Medical Assistants-Mentor,NULL,109,0.6789,21800
Cleveland Institute of Dental-Medical Assistants-Lyndhurst,NULL,45,0.0889,21800
Knox County Career Center,NULL,210,0.9238,25600
Madison Adult Career Center,NULL,138,0.8188,PrivacySuppressed
Remington College-Cleveland Campus,NULL,548,0.146,26300
Brown Mackie College-Findlay,NULL,345,0.4522,29600
Toledo Academy of Beauty Culture-East,NULL,75,0.6267,16500
U S Grant Joint Vocational School,NULL,30,0.9667,PrivacySuppressed
CC's Cosmetology College,NULL,70,0.2143,14600
Chisholm Trail Technology Center,NULL,68,0.7353,PrivacySuppressed
Gordon Cooper Technology Center,NULL,823,0.6513,34200
Kiamichi Technology Center-Atoka,NULL,59,0.5932,22700
Kiamichi Technology Center-Durant,NULL,82,0.6585,22700
Kiamichi Technology Center-Hugo,NULL,78,0.5256,22700
Kiamichi Technology Center-McAlester,NULL,828,0.5761,22700
Kiamichi Technology Center-Idabel,NULL,72,0.4722,22700
Kiamichi Technology Center-Poteau,NULL,302,0.5695,22700
Kiamichi Technology Center-Spiro,NULL,21,0.5714,22700
Kiamichi Technology Centers-Talihina Campus,NULL,53,0.5094,22700
Le Cordon Bleu College of Culinary Arts-Portland,NULL,334,0.4102,30100
YTI Career Institute-Altoona,NULL,296,0.9527,23500
